ProductCode,
'160414,
'170410,
'170490,
'170490,
'180690,
'190410,
'190531,
'190532,
'190590,
'200110,
'200190,
'200290,
'200490,
'200600,
'200710,
'200899,
'210690,
'220210,
'040900,
'071021,
'071120,
'170490,
'170490,
'180690,
'180690,
'190410,
'190531,
'190532,
'200599,
'210690,
